libxUtils.so,xUtils,xUtils,一个快速开发框架。主要由4个模块组成：DbUtils模块、ViewUtils模块、HttpUtils模块和itmapUtils模块。地址：[https://github.com/wyouflf/xUtils3],https://github.com/wyouflf/xUtils3
libVolley.so,Volley,Volley,google 推荐网络请求库，适用于多个小数量请求；缺点是没有自带上传和下载文件的功能，不支持对bitmap处理。地址：[https://github.com/mcxiaoke/android-volley] ,https://github.com/mcxiaoke/android-volley
libNetroid.so,Netroid,Netroid,Volley的扩展库，供执行网络请求、缓存返回结果、批量图片加载、大文件断点下载的常见Http交互功能。地址：[https://github.com/vince-styling/Netroid],https://github.com/vince-styling/Netroid
libFastJson.so,FastJson,FastJson,"在Android开发中,我们Android客户端如果要和服务器端交互,一般都会采用json数据格式进行交互,FastJson是一个Json处理工具包，包括“序列化”和“反序列化”两部分,Fastjson是一个Java语言编写的高性能功能完善的JSON库。一个JSON库涉及的最基本功能就是序列化和反序列化。Fastjson支持java bean的直接序列化。你可以使用com.alibaba.fastjson.JSON这个类进行序列化和反序列化。fastjson采用独创的算法，将parse的速度提升到极致，超过所有json库。地址：[https://github.com/alibaba/fastjson]",https://github.com/alibaba/fastjson
libGson.so,Gson,Gson,Google 提供的用来在 Java 对象和 JSON 数据之间进行映射的 Java 类库。地址：[https://github.com/google/gson],https://github.com/google/gson
libAndroid-async-http.so,Android-async-http,Android-async-http,android-async-http是专门针对Android在Apache的HttpClient基础上构建的异步http连接。地址：[https://github.com/loopj/android-async-http],https://github.com/loopj/android-async-http
libAfinal.so,Afinal,Afinal,一个开源的android的orm和ioc应用开发框架。主要有四大模块：数据库模块、注解模块、网络模块、图片缓存模块。地址：[https://github.com/yangfuhai/afinal],https://github.com/yangfuhai/afinal
libThinkAndroid.so,ThinkAndroid,ThinkAndroid,"ThinkAndroid是包含Android mvc和简易sqlite orm以及ioc模块，它封装了Android httpclitent中的http模块, 具有快速构建文件缓存功能，无需考虑什么格式的文件，都可以非常轻松的实现缓存，它实现了图片缓存，在android中 加载的图片的时候oom的问题和快速滑动的时候图片加载位置错位等问题都可以轻易的解决掉。他还包括了一个手机开发中 经常应用的实用工具类，如日志管理，配置文件管理，android下载器模块，网络切换检测等等工具。它主要包含的模块有：MVC模块、ioc模块、数据库模块、http模块、缓存模块、图片缓存模块、配置器模块、日志打印模块、下载器模块、网络状态检测模块。地址：[https://github.com/white-cat/ThinkAndroid]",https://github.com/white-cat/ThinkAndroid
libLoonAndroid.so,LoonAndroid,LoonAndroid,它主要包括以下几部分：自动注入框架、图片加载框架、网络请求模块、eventbus、验证框架、json解析、数据库、多线程断点下载、自动更新模块、一系列工具类。地址：[https://github.com/gdpancheng/LoonAndroid],https://github.com/gdpancheng/LoonAndroid
libKJFrameForAndroid.so,KJFrameForAndroid,KJFrameForAndroid,KJFrameForAndroid 又叫KJLibrary，是一个android的orm 和 ioc 框架。同时封装了android中的Bitmap与Http操作的框架，使其更加简单易用；总共分为五大模 块：UILibrary，UtilsLibrary，HttpLibrary，BitmapLibrary，DBLibrary。地址：[https://github.com/kymjs/KJFrameForAndroid],https://github.com/kymjs/KJFrameForAndroid
libAndroidAnnotations.so,AndroidAnnotations,AndroidAnnotations,这是国外的一个框架主要专注于注解的开发，简化Android代码编写，它除了有依赖注入的特性以外，还集成了Ormlite，spring-android中的REST模板。地址：[https://github.com/excilys/androidannotations],https://github.com/excilys/androidannotations
libormlite-android.so,ormlite-android,ormlite-android,主要依赖注解和反射的方式；使用简单，易上手。地址：[https://github.com/j256/ormlite-android],https://github.com/j256/ormlite-android
libGreenDao.so,GreenDao,GreenDao,由greenrobot提供开发，是一个将对象映射到 SQLite 数据库中的轻量且快速的 ORM 解决方案。地址：[https://github.com/greenrobot/greenDAO],https://github.com/greenrobot/greenDAO
libButterKnife.so,ButterKnife,ButterKnife,这个开源库可以让我们从大量的findViewById()和setonclicktListener()解放出来，其对性能的影响微乎其微。地址：[https://github.com/JakeWharton/butterknife],https://github.com/JakeWharton/butterknife
libokHttp.so,okHttp,okHttp,由Square公司出品，目前相对比较成熟的网络请求库，获得过google研发人员的称赞；支持断点续传，文件下载等功能。地址:[https://github.com/square/okhttp],https://github.com/square/okhttp
libRetrofit.so,Retrofit,Retrofit,由Square公司出品，使用起来也是非常简单的，主要也是通过注解的方式简化了接口的定义；可配合okHttp来使用。地址：[https://github.com/square/retrofit],https://github.com/square/retrofit
libDiskLruCache.so,DiskLruCache,DiskLruCache,硬盘缓存的最佳方案，获得官方认证。地址：[https://github.com/JakeWharton/DiskLruCache],https://github.com/JakeWharton/DiskLruCache
libImage-Loader.so,Image-Loader,Image-Loader,配置性较强；支持加载网络，文件系统，项目文件夹assets中以及drawable中的图片。地址：[https://github.com/nostra13/Android-Universal-Image-Loader],https://github.com/nostra13/Android-Universal-Image-Loader
libPicasso.so,Picasso,Picasso,实现简单，一行代码就能完全实现图片的异步加载；解决adapter的错乱等问题。地址：[https://github.com/square/picasso],https://github.com/square/picasso
libFresco.so,Fresco,Fresco,由facebook团队开发；一个强大的图片加载组件。地址：[https://github.com/facebook/fresco],https://github.com/facebook/fresco
libRxJava.so,RxJava,RxJava,是一个响应式编程框架，采用观察者设计模式。地址：[https://github.com/ReactiveX/RxJava],https://github.com/ReactiveX/RxJava
libEventBus.so,EventBus,EventBus,"由greenrobot提供开发；针对Android优化的发布/订阅事件总线,代码量小，可灵活在类之间传递数据。地址：[https://github.com/greenrobot/EventBus]",https://github.com/greenrobot/EventBus
libAChartEngine.so,AChartEngine,AChartEngine,第三方图形库。地址：[http://www.achartengine.org/],http://www.achartengine.org/
libMPAndroidChart.so,MPAndroidChart,MPAndroidChart,多功能图形库。地址：[https://github.com/PhilJay/MPAndroidChart],https://github.com/PhilJay/MPAndroidChart
libEazeGraph.so,EazeGraph,EazeGraph,简单图形库。地址：[https://github.com/blackfizz/EazeGraph],https://github.com/blackfizz/EazeGraph
libweiboSDK.so,weiboSDK,weiboSDK,新浪微博的sdk。分享微博以及微博登陆需要用到。地址：[https://github.com/sinaweibosdk/weibo_android_sdk],https://github.com/sinaweibosdk/weibo_android_sdk
libqiNiu.so,qiNiu,qiNiu,七牛的sdk，上传图片到七牛时需要用到。地址：[http://developer.qiniu.com/],http://developer.qiniu.com/
libuniversalImageLoader.so,universalImageLoader,universalImageLoader,加载图片的库。地址：[https://github.com/nostra13/Android-Universal-Image-Loader],https://github.com/nostra13/Android-Universal-Image-Loader
libemojicon.so,emojicon,emojicon,在安卓手机上显示和输入emoji表情的库。地址：[https://github.com/rockerhieu/emojicon],https://github.com/rockerhieu/emojicon
libandroid-gpuimage.so,android-gpuimage,android-gpuimage,实现图片滤镜效果的库。地址：[https://github.com/CyberAgent/android-gpuimage],https://github.com/CyberAgent/android-gpuimage
libleakcanary.so,leakcanary,leakcanary,用来检测内存泄露的库。地址：[https://github.com/square/leakcanary],https://github.com/square/leakcanary
libActiveAndroid.so,ActiveAndroid,ActiveAndroid,简化数据库操作的库。地址：[https://github.com/pardom/ActiveAndroid],https://github.com/pardom/ActiveAndroid
libjpush.so,jpush,jpush,极光推送的sdk，可用来推送系统消息和通知。地址：[http://docs.jpush.io/],http://docs.jpush.io/
libumeng.so,umeng,umeng,友盟统计的sdk。友盟会在app出现崩溃的时候自动上传崩溃日志到后台，通过友盟的错误分析功能可以看到崩溃发生的地方以及崩溃日志。通过分析这些日志可以了解到哪部分代码有问题。如果代码被混淆过，还可以上传mapping文件到友盟后台，这样看到的崩溃日志就是没有混淆过的。地址：[https://www.umeng.com/],https://www.umeng.com/
libZXing.so,ZXing,ZXing,由Google开发的，实现二维码的生成与解析。地址：[https://github.com/zxing],https://github.com/zxing
libQrCodeScan.so,QrCodeScan,QrCodeScan,扫描二维码的库，结合了ZXing和ZBar的优点，使用ZXing来控制摄像头取得图像，使用ZBar来解析扫描到的数据。地址：[https://github.com/SkillCollege/QrCodeScan],https://github.com/SkillCollege/QrCodeScan
libAMap.so,AMap,AMap,高德定位和高德地图的sdk。地址：[http://lbs.amap.com/],http://lbs.amap.com/
libretrolambda.so,retrolambda,retrolambda,使android代码支持lambda表达式。地址：[https://github.com/evant/gradle-retrolambda],https://github.com/evant/gradle-retrolambda
libMaterialDialog.so,MaterialDialog,MaterialDialog,显示Material Design的对话框。地址：[https://github.com/drakeet/MaterialDialog],https://github.com/drakeet/MaterialDialog
libFresco.so,Fresco,Fresco,facebook出的加载图片的库。地址：[https://github.com/facebook/fresco],https://github.com/facebook/fresco
libTestin.so,Testin,Testin崩溃大师,错误日志上传。地址：[http://crash.testin.cn/help/doc],http://crash.testin.cn/help/doc
libShareSDK.so,ShareSDK,ShareSDK,第三方分享。地址：[http://wiki.mob.com/android_快速集成指南/],http://wiki.mob.com/android_快速集成指南/
libActionBarSherlock.so,ActionBarSherlock,ActionBarSherlock,Action Bar是Android 3.0后才开始支持的，ActionBarSherlock是让Action Bar功能支持2.X后的所有平台，而且他会自动的判断是调用原生Action Bar还是使用扩展ActionBar。地址：[https://github.com/JakeWharton/ActionBarSherlock],https://github.com/JakeWharton/ActionBarSherlock
